名稱,郵遞區號,地址,電話,傳真,網址
中山運動中心,10412,臺北市中山區中山北路2段44巷2號,2581-1060,2560-4894,https://cssc.cyc.org.tw/
北投運動中心,11271,臺北市北投區石牌路1段39巷100號,2820-2880,2820-6070,http://www.btsport.org.tw/
中正運動中心,10048,臺北市中正區信義路1段1號,2396-3358,2396-3357,http://www.tpejjsports.com.tw/
南港運動中心,11577,臺北市南港區玉成街69號,2653-2279,2653-8311,https://ngsc.cyc.org.tw/
萬華運動中心,10841,臺北市萬華區西寧南路6之1號,2375-9900,2382-6393,http://whsc.com.tw/
士林運動中心,11168,臺北市士林區士商路一號,2880-6066,2880-5966,http://www.slsc-taipei.org/
內湖運動中心,11493,臺北市內湖區洲子街12號,2656-2869,2627-0578,https://nhsc.cyc.org.tw/
信義運動中心,11047,臺北市信義區松勤街100號,8786-1911,8786-1911,https://xysc.cyc.org.tw/
松山運動中心,10549,臺北市敦化北路1號,6617-6789,2579-8203,http://sssc.com.tw/
大同運動中心,10361,臺北市大龍街51號,2592-0055,2592-0045,https://dtsc-wdyg.com.tw/
大安運動中心,10671,臺北市辛亥路3段55號,2377-0300,2377-0331,https://dasc.cyc.org.tw/
文山運動中心,11698,臺北市文山區興隆路3段222號,2230-8268,2230-8676,https://wssc.cyc.org.tw/
